name,count
fast,3
good,2
love,5
nice,3
cut,1
small,15
little,12
mad,1
excited,1
first,7
awesome,2
alone,1
big,2
cool,4
better,1
ridden,2
crazy,1
enchanted,1
close,1
still,1
open,3
fun,4
full,3
beautiful,1
grumpy,1
emotional,1
lucky,1
old,1
ready,2
revealed,1
removed,1
hope,1
ahead,1
haunted,2
liked,1
faithful,1
cheery,1
desperate,1
incredible,2
okay,3
missing,1
heard,1
rich,1
randy,1
adventurous,1
merry,6
single,1
light,2
real,1
special,1
funny,1
complete,1
dark,1
significant,1
inspired,1
huge,4
released,6
available,1
right,1
